名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
International Review for Spatial Planning and Sustainable Development,INT REV SPAT PLAN SU,2187-3666,2187-3666,1.5,1.5,Q4,,,,,,,,
New Microbiologica,NEW MICROBIOL,1121-7138,1121-7138,1.5,1.5,Q4,,,,,,,,
Postepy w Kardiologii Interwencyjnej,POSTEP KARDIOL INTER,1734-9338,1897-4295,1.5,1.1,Q3,,,,,,,,
SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS,SCI ENG COMPOS MATER,0792-1233,2191-0359,1.5,1.9,Q4,,,,,,,,
Blood Science,BLOOD SCI,2543-6368,2543-6368,1.5,1.4,Q3,,,,,,,,
CELLULAR AND MOLECULAR BIOLOGY,CELL MOL BIOL,0145-5680,1165-158X,1.5,1.5,Q4,,,,,,,,
Journal of Computational Applied Mechanics,J COMPUT APPL MECH,2423-6713,2423-6705,1.5,1.1,Q3,,,,,,,,
Advances in Condensed Matter Physics,ADV COND MATTER PHYS,1687-8108,1687-8124,1.5,1.4,Q3,,,,,,,,
INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,INT J CHEM KINET,0538-8066,1097-4601,1.5,1.6,Q4,,,,,,,,
Mires and Peat,MIRES PEAT,1819-754X,1819-754X,1.5,1.6,Q4,,,,,,,,
Wind Engineering,WIND ENG,0309-524X,2048-402X,1.5,1.4,Q4,,,,,,,,
BRAZILIAN JOURNAL OF CHEMICAL ENGINEERING,BRAZ J CHEM ENG,0104-6632,1678-4383,1.5,1.5,Q3,,,,,,,,
EPJ Applied Metamaterials,EPJ APPL METAMATERIA,2272-2394,2272-2394,1.5,1.2,Q4,,,,,,,,
Materials Research-Ibero-american Journal of Materials,MATER RES-IBERO-AM J,1516-1439,1980-5373,1.5,1.6,Q4,,,,,,,,
Translational Cancer Research,TRANSL CANCER RES,2218-676X,2219-6803,1.5,1.4,Q4,,,,,,,,
CHEMIE INGENIEUR TECHNIK,CHEM-ING-TECH,0009-286X,1522-2640,1.5,1.8,Q3,,,,,,,,
Journal of Tropical Meteorology,J TROP METEOROL,1006-8775,1006-8775,1.5,1.3,Q4,,,,,,,,
American Journal of Stem Cells,AM J STEM CELLS,2160-4150,2160-4150,1.5,1.6,Q4,,,,,,,,
Central European Journal of Immunology,CENT EUR J IMMUNOL,1426-3912,1644-4124,1.5,1.6,Q4,,,,,,,,
Frontiers of Economics in China,FRONT ECON CHINA,1673-3444,1673-3568,1.5,0.8,Q2,,,,,,,,
Learning Communities-International Journal of Learning in Social Contexts,LEARN COMMUNITIES,1329-1440,1329-1440,1.5,0.7,Q2,,,,,,,,
Micro & Nano Letters,MICRO NANO LETT,N/A,1750-0443,1.5,1.1,Q4,,,,,,,,
ACTA PROTOZOOLOGICA,ACTA PROTOZOOL,0065-1583,1689-0027,1.5,1,Q4,,,,,,,,
MOLECULAR BIOLOGY,MOL BIOL+,0026-8933,1608-3245,1.5,1.2,Q4,,,,,,,,
Journal of Consumer Sciences,J CONSUM SCI,N/A,0378-5254,1.5,1.8,Q2,,,,,,,,
Journal of Combustion,J COMBUST,2090-1968,2090-1976,1.5,1.2,Q3,,,,,,,,
Museum Management and Curatorship,MUS MANAGE CURATOR,0964-7775,1872-9185,1.4,1.9,N/A,,,,,,,,
WALT WHITMAN QUARTERLY REVIEW,WALT WHITMAN Q REV,0737-0679,2153-3695,1.4,0.3,N/A,,,,,,,,
Memory Studies,MEM STUD,1750-6980,1750-6999,1.4,1.6,Q1,,,,,,,,
ECONOMIC HISTORY REVIEW,ECON HIST REV,0013-0117,1468-0289,1.4,1.9,Q1,,,,,,,,
Philosophers Imprint,PHILOS IMPRINT,1533-628X,N/A,1.4,1.8,N/A,,,,,,,,
European Law Journal,EUR LAW J,1351-5993,1468-0386,1.4,1.4,Q1,,,,,,,,
Journal of Empirical Theology,J EMPIR THEOL,0922-2936,1570-9256,1.4,0.8,N/A,,,,,,,,
Multilingua-Journal of Cross-Cultural and Interlanguage Communication,MULTILINGUA,0167-8507,1613-3684,1.4,1.8,Q2,,,,,,,,
Grotiana,GROTIANA,0167-3831,1876-0759,1.4,0.8,N/A,,,,,,,,
LAW AND SOCIAL INQUIRY-JOURNAL OF THE AMERICAN BAR FOUNDATION,LAW SOCIAL INQUIRY,0897-6546,1747-4469,1.4,1.6,Q1,,,,,,,,
Asia & the Pacific Policy Studies,ASIA PAC POLICY STUD,2050-2680,2050-2680,1.4,2.1,Q1,,,,,,,,
Oxford Journal of Legal Studies,OXFORD J LEGAL STUD,0143-6503,1464-3820,1.4,1.6,Q1,,,,,,,,
SOCIAL & LEGAL STUDIES,SOC LEGAL STUD,0964-6639,1461-7390,1.4,2.4,Q2,,,,,,,,
INTERNATIONAL JOURNAL OF LAW AND PSYCHIATRY,INT J LAW PSYCHIAT,0160-2527,1873-6386,1.4,1.9,Q3,,,,,,,,
IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,IRAL-INT REV APPL LI,0019-042X,1613-4141,1.4,1.3,Q2,,,,,,,,
Social Epistemology,SOC EPISTEMOL,0269-1728,1464-5297,1.4,2,Q2,,,,,,,,
Archaeological Dialogues,ARCHAEOL DIALOG,1380-2038,1478-2294,1.4,1.8,N/A,,,,,,,,
Current Legal Problems,CURR LEGAL PROBL,0070-1998,2044-8422,1.4,1.7,Q1,,,,,,,,
PHILOSOPHY OF SCIENCE,PHILOS SCI,0031-8248,1539-767X,1.4,1.7,Q1,,,,,,,,
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,STUD HIST PHILOS SCI,0039-3681,1879-2510,1.4,1.5,Q1,,,,,,,,
China Perspectives,CHINA PERSPECT,2070-3449,1996-4617,1.4,1.9,Q1,,,,,,,,
PACIFIC AFFAIRS,PAC AFF,0030-851X,1715-3379,1.4,1.5,Q1,,,,,,,,
Journal of Politeness Research-Language Behaviour Culture,J POLITENESS RES-LAN,1612-5681,1613-4877,1.4,1.7,Q2,,,,,,,,
Language Assessment Quarterly,LANG ASSESS Q,1543-4303,1543-4311,1.4,2.9,Q3,,,,,,,,
Analysis and Mathematical Physics,ANAL MATH PHYS,1664-2368,1664-235X,1.4,1.4,Q2,,,,,,,,
Ardeola-International Journal of Ornithology,ARDEOLA,0570-7358,2341-0825,1.4,1,Q2,,,,,,,,
Journal of Island & Coastal Archaeology,J ISL COAST ARCHAEOL,1556-4894,1556-1828,1.4,1.5,N/A,,,,,,,,
Journal of Fixed Point Theory and Applications,J FIX POINT THEORY A,1661-7738,1661-7746,1.4,1.5,Q2,,,,,,,,
JOURNAL OF CRIME & JUSTICE,J CRIME JUSTICE,0735-648X,2158-9119,1.4,1.6,Q2,,,,,,,,
Language Policy,LANG POLICY-NETH,1568-4555,1573-1863,1.4,2,Q2,,,,,,,,
JOURNAL OF SPECIAL EDUCATION,J SPEC EDUC,0022-4669,1538-4764,1.4,2.3,Q3,,,,,,,,
LGBTQ Family-An Interdisciplinary Journal,LGBTQ FAM,2770-3371,2770-338X,1.4,1.4,Q2,,,,,,,,
Carpathian Journal of Mathematics,CARPATHIAN J MATH,1584-2851,1843-4401,1.4,1.2,Q2,,,,,,,,
Legal Ethics,LEG ETHICS,1460-728X,1757-8450,1.4,0.9,Q1,,,,,,,,
Review of African Political Economy,REV AFR POLIT ECON,0305-6244,1740-1720,1.4,1.8,Q2,,,,,,,,
Science China-Mathematics,SCI CHINA MATH,1674-7283,1869-1862,1.4,1.4,Q2,,,,,,,,
CALCOLO,CALCOLO,0008-0624,1126-5434,1.4,1.8,Q2,,,,,,,,
Global Crime,GLOB CRIME,1744-0572,1744-0580,1.4,1.6,Q2,,,,,,,,
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,MILLENNIUM-J INT ST,0305-8298,1477-9021,1.4,3.2,Q2,,,,,,,,
JOURNAL OF LITERACY RESEARCH,J LIT RES,1086-296X,1554-8430,1.4,2.5,Q3,,,,,,,,
Journal of Dynamics and Differential Equations,J DYN DIFFER EQU,1040-7294,1572-9222,1.4,1.7,Q2,,,,,,,,
Language Variation and Change,LANG VAR CHANGE,0954-3945,1469-8021,1.4,1.8,Q2,,,,,,,,
Victims & Offenders,VICTIMS OFFENDERS,1556-4886,1556-4991,1.4,1.7,Q2,,,,,,,,
Information and Inference-A Journal of the IMA,INF INFERENCE,2049-8764,2049-8772,1.4,1.7,Q2,,,,,,,,
International Journal of Science Education Part B-Communication and Public Engagement,INT J SCI EDUC PART,2154-8455,2154-8463,1.4,1.8,Q2,,,,,,,,
Australian Journal of Administrative Law,AUST J ADM LAW,1320-7105,1320-7105,1.4,1.2,Q1,,,,,,,,
Business and Politics,BUS POLIT,N/A,1469-3569,1.4,2,Q2,,,,,,,,
Critical Criminology,CRIT CRIMINOL-NETH,1205-8629,1572-9877,1.4,2.1,Q2,,,,,,,,
Ornithology Research,ORNITHOL RES,N/A,2662-673X,1.4,1.3,Q2,,,,,,,,
JOURNAL OF THE AMERICAN PSYCHOANALYTIC ASSOCIATION,J AM PSYCHOANAL ASS,0003-0651,1941-2460,1.4,1.2,Q1,,,,,,,,
THEORY AND PRACTICE OF LOGIC PROGRAMMING,THEOR PRACT LOG PROG,1471-0684,1475-3081,1.4,1.5,Q1,,,,,,,,
ALTERNATIVES,ALTERNATIVES,0304-3754,2163-3150,1.4,1.4,Q2,,,,,,,,
JOURNAL OF SOCIOLOGY,J SOCIOL,1440-7833,1741-2978,1.4,2.6,Q2,,,,,,,,
Results in Applied Mathematics,RESULTS APPL MATH,2590-0374,2590-0374,1.4,1.3,Q2,,,,,,,,
BMC Zoology,BMC ZOOL,N/A,2056-3132,1.4,1.6,Q2,,,,,,,,
Children & Society,CHILD SOC,0951-0605,1099-0860,1.4,1.8,Q2,,,,,,,,
GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,GEOARCHAEOLOGY,0883-6353,1520-6548,1.4,1.6,Q3,,,,,,,,
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS,J POSIT BEHAV INTERV,1098-3007,1538-4772,1.4,3,Q3,,,,,,,,
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,J COMPUT GRAPH STAT,1061-8600,1537-2715,1.4,2.1,Q2,,,,,,,,
Police Practice and Research,POLICE PRACT RES,1561-4263,1477-271X,1.4,1.8,Q2,,,,,,,,
American Journal of Audiology,AM J AUDIOL,1059-0889,1558-9137,1.4,1.6,Q2,,,,,,,,
ANNALS OF APPLIED PROBABILITY,ANN APPL PROBAB,1050-5164,N/A,1.4,1.9,Q2,,,,,,,,
ANTHROPOLOGY & EDUCATION QUARTERLY,ANTHROPOL EDUC QUART,0161-7761,1548-1492,1.4,1.7,Q2,,,,,,,,
Archives of Budo,ARCH BUDO,1643-8698,1643-8698,1.4,1.2,Q3,,,,,,,,
Child and Adolescent Social Work Journal,CHILD ADOLESC SOC WO,0738-0151,1573-2797,1.4,1.9,Q2,,,,,,,,
Political Studies Review,POLIT STUD REV,1478-9299,1478-9302,1.4,2.4,Q2,,,,,,,,
Journal of Otology,J OTOL,1672-2930,1672-2930,1.4,N/A,Q2,,,,,,,,
Korean Journal of Family Medicine,KOREAN J FAM MED,2092-6715,2092-6715,1.4,2.1,Q4,,,,,,,,
QUALITATIVE INQUIRY,QUAL INQ,1077-8004,1552-7565,1.4,2.9,Q2,,,,,,,,
RUSSIAN MATHEMATICAL SURVEYS,RUSS MATH SURV+,0036-0279,1468-4829,1.4,1.4,Q1,,,,,,,,
International Journal of Speech-Language Pathology,INT J SPEECH-LANG PA,1754-9507,1754-9515,1.4,2,Q3,,,,,,,,
JOURNAL OF MULTIVARIATE ANALYSIS,J MULTIVARIATE ANAL,0047-259X,N/A,1.4,1.5,Q2,,,,,,,,
Journal of Vocational Education and Training,J VOCAT EDUC TRAIN,1363-6820,1747-5090,1.4,2,Q2,,,,,,,,
OPERATIVE DENTISTRY,OPER DENT,0361-7734,1559-2863,1.4,2.7,Q3,,,,,,,,
Critical and Radical Social Work,CRIT RADIC SOC WORK,2049-8608,2049-8675,1.4,1.2,Q2,,,,,,,,
Dimensions of Critical Care Nursing,DIMENS CRIT CARE NUR,0730-4625,1538-8646,1.4,1.6,Q3,,,,,,,,
JOURNAL OF SOCIAL SERVICE RESEARCH,J SOC SERV RES,0148-8376,1540-7314,1.4,1.5,Q2,,,,,,,,
COCHLEAR IMPLANTS INTERNATIONAL,COCHLEAR IMPLANTS IN,1467-0100,1754-7628,1.4,N/A,Q2,,,,,,,,
Communications on Applied Mathematics and Computation,COM APPL MATH COMPUT,2096-6385,2661-8893,1.4,N/A,Q2,,,,,,,,
EUROPEAN JOURNAL OF WOMENS STUDIES,EUR J WOMENS STUD,1350-5068,1461-7420,1.4,2.5,Q2,,,,,,,,
AStA-Advances in Statistical Analysis,ASTA-ADV STAT ANAL,1863-8171,1863-818X,1.4,1.3,Q2,,,,,,,,
International Criminal Justice Review,INT CRIM JUSTICE REV,1057-5677,1556-3855,1.4,1.8,Q2,,,,,,,,
Learning and Teaching in Higher Education-Gulf Perspectives,LEARN TEACH HIGH EDU,2077-5504,2077-5504,1.4,1.1,Q2,,,,,,,,
Stochastics and Partial Differential Equations-Analysis and Computations,STOCH PARTIAL DIFFER,2194-0401,2194-041X,1.4,1.6,Q2,,,,,,,,
European Journal of Social Work,EUR J SOC WORK,1369-1457,1468-2664,1.4,1.6,Q2,,,,,,,,
Kotuitui-New Zealand Journal of Social Sciences Online,KOTUITUI,N/A,1177-083X,1.4,1.3,Q2,,,,,,,,
LAW PROBABILITY & RISK,LAW PROBAB RISK,1470-8396,1470-840X,1.4,1,Q2,,,,,,,,
POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT,POLICING,1363-951X,1758-695X,1.4,1.8,Q2,,,,,,,,
Social Anthropology,SOC ANTHROPOL,0964-0282,1469-8676,1.4,1.6,Q2,,,,,,,,
Educational Media International,EDUC MEDIA INT,0952-3987,1469-5790,1.4,2.2,Q2,,,,,,,,
ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,ENTOMOL EXP APPL,0013-8703,1570-7458,1.4,2.1,Q2,,,,,,,,
Forensic Sciences Research,FOREN SCI RES,2096-1790,2471-1411,1.4,2.5,Q3,,,,,,,,
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE,J APPL ANIM WELF SCI,1088-8705,1532-7604,1.4,1.6,Q2,,,,,,,,
JOURNAL OF BACK AND MUSCULOSKELETAL REHABILITATION,J BACK MUSCULOSKELET,1053-8127,1878-6324,1.4,1.5,Q3,,,,,,,,
Politics & Policy,POLITICS POLICY,1555-5623,1747-1346,1.4,1.3,Q2,,,,,,,,
VETERINARY ANAESTHESIA AND ANALGESIA,VET ANAESTH ANALG,1467-2987,1467-2995,1.4,1.5,Q2,,,,,,,,
Zebrafish,ZEBRAFISH,1545-8547,1557-8542,1.4,2.9,Q2,,,,,,,,
Revista Matematica Complutense,REV MAT COMPLUT,1139-1138,1988-2807,1.4,1.1,Q2,,,,,,,,
ANIMAL WELFARE,ANIM WELFARE,0962-7286,2054-1538,1.4,1.8,Q2,,,,,,,,
Communication Studies,COMMUN STUD,1051-0974,1745-1035,1.4,2.1,Q2,,,,,,,,
DISCOURSE STUDIES,DISCOURSE STUD,1461-4456,1461-7080,1.4,2.1,Q2,,,,,,,,
European Political Science,EUR POLIT SCI,1680-4333,1682-0983,1.4,1.7,Q2,,,,,,,,
International Politics,INT POLITICS,1384-5748,1740-3898,1.4,1.3,Q2,,,,,,,,
International Studies in Sociology of Education,INT STUD SOCIOL EDUC,0962-0214,1747-5066,1.4,1.6,Q2,,,,,,,,
JOURNAL OF DENTAL EDUCATION,J DENT EDUC,0022-0337,1930-7837,1.4,1.7,Q3,,,,,,,,
JOURNAL OF HYMENOPTERA RESEARCH,J HYMENOPT RES,1070-9428,1314-2607,1.4,1.3,Q2,,,,,,,,
Social Inclusion,SOC INCL,N/A,2183-2803,1.4,1.9,Q2,,,,,,,,
Advances in Data Analysis and Classification,ADV DATA ANAL CLASSI,1862-5347,1862-5355,1.4,1.6,Q2,,,,,,,,
Journal of Childrens Services,J CHILD SERV,1746-6660,2042-8677,1.4,1.5,Q2,,,,,,,,
Journal of Ethnic & Cultural Diversity in Social Work,J ETHN CULT DIVERSIT,1531-3204,1531-3212,1.4,1.8,Q2,,,,,,,,
JOURNAL OF PEDIATRIC ORTHOPAEDICS,J PEDIATR ORTHOPED,0271-6798,1539-2570,1.4,1.8,Q3,,,,,,,,
Mathematical Modelling and Control,MATH MODEL CONTROL,N/A,2767-8946,1.4,1.4,Q2,,,,,,,,
Mathematics Education Research Journal,MATH EDUC RES J,1033-2170,2211-050X,1.4,1.8,Q3,,,,,,,,
Tertiary Education and Management,TERT EDUC MANAG,1358-3883,1573-1936,1.4,1.8,Q2,,,,,,,,
Cultural Sociology,CULT SOCIOL-LONDON,1749-9755,1749-9763,1.4,2,Q2,,,,,,,,
Focaal-Journal of Global and Historical Anthropology,FOCAAL,0920-1297,1558-5263,1.4,1.5,Q2,,,,,,,,
LEGISLATIVE STUDIES QUARTERLY,LEGIS STUD QUART,0362-9805,1939-9162,1.4,1.9,Q2,,,,,,,,
NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION,NUMER FUNC ANAL OPT,0163-0563,1532-2467,1.4,1.3,Q2,,,,,,,,
Journal of Digital Media & Policy,J DIGIT MEDIA POLICY,2516-3523,2516-3531,1.4,1.5,Q2,,,,,,,,
Journal of Psychologists and Counsellors in Schools,J PSYCHOL COUNS SCH,2055-6365,2055-6373,1.4,1.2,Q2,,,,,,,,
Peacebuilding,PEACEBUILDING,2164-7259,2164-7267,1.4,1.7,Q2,,,,,,,,
Psychiatry Psychology and Law,PSYCHIAT PSYCHOL LAW,1321-8719,1934-1687,1.4,1.4,Q3,,,,,,,,
Ethnicities,ETHNICITIES,1468-7968,1741-2706,1.4,1.9,Q2,,,,,,,,
Interest Groups & Advocacy,INTEREST GROUPS ADVO,2047-7414,2047-7422,1.4,1.6,Q2,,,,,,,,
ORTHOPEDIC CLINICS OF NORTH AMERICA,ORTHOP CLIN N AM,0030-5898,1558-1373,1.4,2.4,Q3,,,,,,,,
Anatomy & Cell Biology,ANAT CELL BIOL,2093-3665,2093-3673,1.4,1.5,Q3,,,,,,,,
Critical Care Nursing Clinics of North America,CRIT CARE NURS CLIN,0899-5885,1558-3481,1.4,1.8,Q3,,,,,,,,
JOURNAL OF APICULTURAL RESEARCH,J APICULT RES,0021-8839,2078-6913,1.4,2.2,Q2,,,,,,,,
NEOTROPICAL ENTOMOLOGY,NEOTROP ENTOMOL,1519-566X,1678-8052,1.4,1.5,Q2,,,,,,,,
Refugee Survey Quarterly,REFUG SURV Q,1020-4067,1471-695X,1.4,1.6,Q3,,,,,,,,
Research in Human Development,RES HUM DEV,1542-7609,1542-7617,1.4,2.7,Q4,,,,,,,,
Acta Politica,ACTA POLIT,0001-6810,1741-1416,1.4,1.6,Q2,,,,,,,,
Asia-Pacific Journal of Teacher Education,ASIA-PAC J TEACH EDU,1359-866X,1469-2945,1.4,2.3,Q2,,,,,,,,
Gender Issues,GEND ISSUES,1098-092X,1936-4717,1.4,2,Q3,,,,,,,,
JOURNAL OF VECTOR ECOLOGY,J VECTOR ECOL,1081-1710,1948-7134,1.4,1.5,Q2,,,,,,,,
STATISTICA NEERLANDICA,STAT NEERL,0039-0402,1467-9574,1.4,1.3,Q2,,,,,,,,
Studies in Social Justice,STUD SOC JUSTICE,1911-4788,1911-4788,1.4,1.2,Q2,,,,,,,,
COMMUNICATION QUARTERLY,COMMUN Q,0146-3373,1746-4102,1.4,1.4,Q2,,,,,,,,
JOURNAL OF NEMATOLOGY,J NEMATOL,0022-300X,2640-396X,1.4,1.5,Q2,,,,,,,,
Methods Data Analyses,METHODS DATA ANAL,1864-6956,2190-4936,1.4,2.2,Q3,,,,,,,,
Palaeobiodiversity and Palaeoenvironments,PALAEOBIO PALAEOENV,1867-1594,1867-1608,1.4,1.3,Q3,,,,,,,,
SCOTTISH MEDICAL JOURNAL,SCOT MED J,0036-9330,2045-6441,1.4,1.5,Q2,,,,,,,,
ANIMAL BIOLOGY,ANIM BIOL,1570-7555,1570-7563,1.4,1.1,Q2,,,,,,,,
European Journal of Orthopaedic Surgery and Traumatology,EUR J ORTHOP SURG TR,1633-8065,1432-1068,1.4,N/A,Q3,,,,,,,,
International Journal of Nursing Knowledge,INT J NURS KNOWL,2047-3087,2047-3095,1.4,1.3,Q3,,,,,,,,
PEDIATRIC EXERCISE SCIENCE,PEDIATR EXERC SCI,0899-8493,1543-2920,1.4,1.8,Q3,,,,,,,,
Seminars in Pediatric Surgery,SEMIN PEDIATR SURG,1055-8586,1532-9453,1.4,2.3,Q3,,,,,,,,
ACTA ODONTOLOGICA SCANDINAVICA,ACTA ODONTOL SCAND,0001-6357,1502-3850,1.4,2,Q3,,,,,,,,
Acta Stomatologica Croatica,ACTA STOMATOL CROAT,0001-7019,1846-0410,1.4,1.5,Q3,,,,,,,,
ANNALS OF PLASTIC SURGERY,ANN PLAS SURG,0148-7043,1536-3708,1.4,1.7,Q3,,,,,,,,
IAWA JOURNAL,IAWA J,0928-1541,2294-1932,1.4,1.9,Q2,,,,,,,,
Innovation and Development,INNOV DEV,2157-930X,2157-9318,1.4,N/A,Q3,,,,,,,,
JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,J NONLINEAR MATH PHY,1402-9251,1776-0852,1.4,1,Q2,,,,,,,,
Mathematical Population Studies,MATH POPUL STUD,0889-8480,1547-724X,1.4,1.2,Q2,,,,,,,,
Network Science,NETW SCI,2050-1242,2050-1250,1.4,1.7,Q2,,,,,,,,
RADIOCHIMICA ACTA,RADIOCHIM ACTA,0033-8230,2193-3405,1.4,1.6,Q3,,,,,,,,
Journal of International and Intercultural Communication,J INT INTERCULT COMM,1751-3057,1751-3065,1.4,1.9,Q2,,,,,,,,
Journal of Research in International Education,J RES INT EDUC,1475-2409,1741-2943,1.4,1.8,Q2,,,,,,,,
CLINICAL OBSTETRICS AND GYNECOLOGY,CLIN OBSTET GYNECOL,0009-9201,1532-5520,1.4,2.4,Q3,,,,,,,,
International Journal for Multiscale Computational Engineering,INT J MULTISCALE COM,1543-1649,1940-4352,1.4,1.1,Q3,,,,,,,,
International Journal of Emergency Services,INT J EMERG SERV,2047-0894,2047-0908,1.4,1.2,Q2,,,,,,,,
Revista Paulista de Pediatria,REV PAUL PEDIATR,0103-0582,1984-0462,1.4,N/A,Q3,,,,,,,,
Veterinary Parasitology- Regional Studies and Reports,VET PARASITOL REG ST,2405-9390,2405-9390,1.4,1.5,Q2,,,,,,,,
AUSTRALIAN & NEW ZEALAND JOURNAL OF OBSTETRICS & GYNAECOLOGY,AUST NZ J OBSTET GYN,0004-8666,1479-828X,1.4,1.7,Q3,,,,,,,,
BRAIN & DEVELOPMENT,BRAIN DEV-JPN,0387-7604,1872-7131,1.4,1.5,Q3,,,,,,,,
Female Pelvic Medicine and Reconstructive Surgery,FEMALE PELVIC MED RE,2151-8378,2154-4212,1.4,1.5,Q3,,,,,,,,
Journal of Hip Preservation Surgery,J HIP PRESERV SURG,2054-8397,2054-8397,1.4,1.5,Q3,,,,,,,,
PHILOSOPHICAL PSYCHOLOGY,PHILOS PSYCHOL,0951-5089,1465-394X,1.4,1.5,Q3,,,,,,,,
READING TEACHER,READ TEACH,0034-0561,1936-2714,1.4,1.7,Q2,,,,,,,,
Revista Electronica Interuniversitaria de Formacion del Profesorado,REV ELECTRON INTERUN,N/A,1575-0965,1.4,1.8,Q2,,,,,,,,
SMITH COLLEGE STUDIES IN SOCIAL WORK,SMITH COLL STUD SOC,0037-7317,1553-0426,1.4,1.1,Q2,,,,,,,,
DESIGNS CODES AND CRYPTOGRAPHY,DESIGN CODE CRYPTOGR,0925-1022,1573-7586,1.4,1.5,Q2,,,,,,,,
INTERNATIONAL OPHTHALMOLOGY,INT OPHTHALMOL,0165-5701,1573-2630,1.4,1.6,Q3,,,,,,,,
Journal of Family Studies,J FAM STUD,1322-9400,1839-3543,1.4,1.6,Q3,,,,,,,,
Journal of Human Rights and Social Work,J HUM RIGHTS SOC WOR,2365-1792,2365-1792,1.4,1.3,Q2,,,,,,,,
OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,1055-6788,1029-4937,1.4,1.7,Q3,,,,,,,,
Polar-Political and Legal Anthropology Review,POLAR-POLIT LEG ANTH,1081-6976,1555-2934,1.4,1.6,Q2,,,,,,,,
Public Health Ethics,PUBLIC HEALTH ETH-UK,1754-9973,1754-9981,1.4,1.6,Q3,,,,,,,,
Surgery Open Science,SURG OPEN SCI,2589-8450,2589-8450,1.4,1.3,Q3,,,,,,,,
VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,VET IMMUNOL IMMUNOP,0165-2427,1873-2534,1.4,1.7,Q2,,,,,,,,
African Journal of Emergency Medicine,AFR J EMERG MED,2211-419X,2211-4203,1.4,1.4,Q3,,,,,,,,
Business and Professional Communication Quarterly,BUS PROF COMMUN Q,2329-4906,2329-4922,1.4,1.8,Q2,,,,,,,,
EUROPEAN JOURNAL OF OPHTHALMOLOGY,EUR J OPHTHALMOL,1120-6721,1724-6016,1.4,1.6,Q3,,,,,,,,
GEOGRAPHICAL REVIEW,GEOGR REV,0016-7428,1931-0846,1.4,2,Q2,,,,,,,,
International Journal of Healthcare Management,INT J HEALTHCARE MAN,2047-9700,2047-9719,1.4,1.7,Q4,,,,,,,,
Iranian Journal of Science and Technology Transaction A-Science,IRAN J SCI TECHNOL A,1028-6276,2364-1819,1.4,1.3,Q2,,,,,,,,
Oral Health & Preventive Dentistry,ORAL HLTH PREV DENT,1602-1622,1757-9996,1.4,1.4,Q3,,,,,,,,
Psychology of Consciousness-Theory Research and Practice,PSYCHOL CONSCIOUS,2326-5523,2326-5531,1.4,N/A,Q4,,,,,,,,
Journal of Orthodontics,J ORTHOD,1465-3125,1465-3133,1.4,1.4,Q3,,,,,,,,
HISTORICAL BIOLOGY,HIST BIOL,0891-2963,1029-2381,1.4,1.5,Q3,,,,,,,,
IMA JOURNAL OF APPLIED MATHEMATICS,IMA J APPL MATH,0272-4960,1464-3634,1.4,1.1,Q2,,,,,,,,
INSECTES SOCIAUX,INSECT SOC,0020-1812,1420-9098,1.4,1.5,Q2,,,,,,,,
International Journal of Differential Equations,INT J DIFFER EQUAT,1687-9643,1687-9651,1.4,1.1,Q2,,,,,,,,
PALYNOLOGY,PALYNOLOGY,0191-6122,1558-9188,1.4,1.6,Q3,,,,,,,,
Anales de Psicologia,AN PSICOL-SPAIN,0212-9728,1695-2294,1.4,1.9,Q3,,,,,,,,
Avian Conservation and Ecology,AVIAN CONSERV ECOL,1712-6568,N/A,1.4,1.5,Q2,,,,,,,,
CLINICAL BIOMECHANICS,CLIN BIOMECH,0268-0033,1879-1271,1.4,1.8,Q3,,,,,,,,
Dementia and Geriatric Cognitive Disorders Extra,DEMENT GER COGN D EX,N/A,1664-5464,1.4,2.1,Q4,,,,,,,,
GEO-MARINE LETTERS,GEO-MAR LETT,0276-0460,1432-1157,1.4,1.9,Q3,,,,,,,,
International Journal of Game-Based Learning,INT J GAME-BASED LEA,2155-6849,2155-6857,1.4,1.6,Q2,,,,,,,,
Journal of Clinical Sport Psychology,J CLIN SPORT PSYCHOL,1932-9261,1932-927X,1.4,1.9,Q3,,,,,,,,
JOURNAL OF THE EXPERIMENTAL ANALYSIS OF BEHAVIOR,J EXP ANAL BEHAV,0022-5002,1938-3711,1.4,1.9,Q4,,,,,,,,
New Bioethics-A Multidisciplinary Journal of Biotechnology and the Body,NEW BIOETH,2050-2877,2050-2885,1.4,1.3,Q4,,,,,,,,
